"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"405",417,27306,6211,89,2,150,367.56,0.0224719101123595,0.032200933827081
"406",418,28124,6192,64,1,91,0,0.015625,0.0161498708010336
"407",419,27013,6135,59,2,91,1502,0.0338983050847458,0.032599837000815
"408",421,28469,6128,75,0,100,44,0,0
"409",422,27521,6111,60,0,84,182.4,0,0
"410",423,28097,6074,51,0,83,0,0,0
"411",424,27350,6021,50,0,67,2593.8,0,0
"412",425,28135,5999,49,0,82,0,0,0
"413",426,28386,5997,196,5,323,0,0.0255102040816327,0.0833750208437552
"414",427,28391,5984,30,0,56,629.6,0,0
"415",428,27299,5945,42,0,80,245,0,0
"416",429,28642,5890,41,0,74,2005,0,0
"417",430,27505,5862,111,4,152,0,0.036036036036036,0.0682360968952576
"418",431,28609,5788,47,0,73,0,0,0
"419",433,27020,5717,79,2,129,3390,0.0253164556962025,0.0349833828931258
"420",434,28305,5705,40,2,80,0,0.05,0.035056967572305
"421",435,27379,5601,34,0,56,0,0,0
"422",436,28366,5564,108,0,210,40518.57,0,0
"423",438,27349,5500,32,0,55,1745,0,0
"424",439,27605,5490,38,1,72,0,0.0263157894736842,0.0182149362477231
"425",440,28163,5469,32,0,55,0,0,0
"426",441,27011,5380,50,0,92,0,0,0
"427",442,28433,5375,40,0,76,19849.04,0,0
"428",443,28073,5366,53,1,95,0,0.0188679245283019,0.0186358553857622
"429",444,27891,5356,28,2,56,6077.1,0.0714285714285714,0.0373412994772218
"430",445,27851,5356,77,0,138,0,0,0
"431",446,28394,5303,34,1,56,0,0.0294117647058824,0.0188572506128606
"432",447,28129,5287,55,0,91,0,0,0
"433",448,28789,5281,36,0,55,0,0,0
"434",449,27341,5263,43,0,74,4040,0,0
"435",450,28634,5230,59,0,112,2028,0,0
"436",451,28543,5153,16,1,24,0,0.0625,0.0194061711624297
"437",452,28478,5114,85,0,171,28858.22,0,0
"438",453,28468,5093,38,0,70,0,0,0
"439",454,27809,5083,61,1,116,681.7,0.0163934426229508,0.0196734212079481
"440",455,27544,5027,31,0,72,0,0,0
"441",456,28636,5013,40,1,77,0,0.025,0.0199481348493916
"442",457,27864,4911,70,1,145,3704.2,0.0142857142857143,0.0203624516391774
"443",458,28356,4890,25,2,51,0,0.08,0.0408997955010225
"444",459,27921,4889,27,2,50,0,0.0740740740740741,0.040908161178155
"445",460,28901,4874,32,1,53,0,0.03125,0.0205170291341814
"446",461,28341,4843,186,1,366,86737.42,0.00537634408602151,0.0206483584555028
"447",462,27830,4841,39,1,80,27425.5,0.0256410256410256,0.0206568890725057
"448",463,27581,4832,24,0,61,0,0,0
"449",464,28555,4767,21,0,45,4817.4,0,0
"450",465,27563,4762,86,1,162,1478.5,0.0116279069767442,0.0209995800083998
"451",466,28640,4759,15,0,31,0,0,0
"452",467,28756,4715,27,0,57,0,0,0
"453",468,28018,4699,34,0,57,0,0,0
"454",469,28351,4698,24,0,46,0,0,0
"455",470,28338,4663,49,1,102,11501.35,0.0204081632653061,0.0214454214025306
"456",471,27209,4591,165,8,397,0,0.0484848484848485,0.174253975168809
"457",472,27235,4557,22,0,48,0,0,0
"458",473,27937,4546,16,1,38,2224.8,0.0625,0.021997360316762
"459",475,27243,4431,45,1,96,0,0.0222222222222222,0.0225682690137666
"460",477,27027,4382,11,0,27,0,0,0
"461",478,28318,4371,32,0,70,18957.82,0,0
"462",479,27871,4307,44,1,99,0,0.0227272727272727,0.0232180171813327
"463",480,27248,4249,36,1,74,695,0.0277777777777778,0.0235349493998588
"464",481,28344,4199,64,1,168,5558,0.015625,0.0238151940938319
"465",482,27019,4139,24,0,57,0,0,0
"466",483,27810,4074,20,0,47,0,0,0
"467",484,28676,4028,16,0,46,0,0,0
"468",485,27050,3995,24,0,59,0,0,0
"469",486,27925,3991,90,1,216,286.26,0.0111111111111111,0.0250563768479078
"470",487,27976,3985,20,0,56,0,0,0
"471",489,28692,3941,23,0,51,0,0,0
"472",490,28323,3899,30,0,66,0,0,0
"473",491,28420,3845,64,1,125,3021.12,0.015625,0.0260078023407022
"474",492,28441,3818,63,2,189,50724.29,0.0317460317460317,0.0523834468308015
"475",493,28456,3800,45,0,126,2352,0,0
