"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"705",741,27964,653,0,0,0,0,NA,0
"706",742,27862,649,1,0,11,0,0,0
"707",743,27853,642,0,0,0,0,NA,0
"708",744,28663,617,2,0,28,0,0,0
"709",745,27042,610,5,1,69,0,0.2,0.163934426229508
"710",746,28308,607,0,0,0,0,NA,0
"711",747,28736,603,11,0,149,0,0,0
"712",749,28528,590,0,0,0,0,NA,0
"713",751,28511,566,2,0,32,0,0,0
"714",752,27960,564,0,0,0,0,NA,0
"715",753,28702,560,1,0,14,0,0,0
"716",755,28579,554,7,0,88,0,0,0
"717",757,27943,511,0,0,0,0,NA,0
"718",760,27941,494,4,0,60,0,0,0
"719",762,27872,480,0,0,0,1230.8,NA,0
"720",763,28077,464,2,0,36,0,0,0
"721",764,28745,461,8,0,134,0,0,0
"722",765,28667,453,0,0,0,0,NA,0
"723",769,27840,426,12,2,224,0,0.166666666666667,0.469483568075117
"724",770,27875,424,0,0,0,0,NA,0
"725",771,27956,423,0,0,0,0,NA,0
"726",772,28577,388,4,0,67,0,0,0
"727",774,28708,375,0,0,0,0,NA,0
"728",775,28718,363,1,0,16,0,0,0
"729",777,28587,353,0,0,0,0,NA,0
"730",780,28553,326,1,0,19,0,0,0
"731",781,28520,322,0,0,0,0,NA,0
"732",782,28668,314,0,0,0,0,NA,0
"733",783,28646,308,0,0,0,0,NA,0
"734",784,28524,304,0,0,0,0,NA,0
"735",788,28735,293,0,0,0,0,NA,0
"736",789,28581,285,0,0,0,0,NA,0
"737",790,28583,279,0,0,0,0,NA,0
"738",791,27821,268,0,0,0,0,NA,0
"739",792,28775,267,0,0,0,0,NA,0
"740",793,28519,260,0,0,0,0,NA,0
"741",798,27978,203,0,0,0,0,NA,0
"742",802,27881,150,0,0,0,0,NA,0
"743",804,28537,146,0,0,0,0,NA,0
"744",805,28552,146,0,0,0,0,NA,0
"745",806,27556,143,0,0,0,0,NA,0
"746",807,28720,140,0,0,0,0,NA,0
"747",808,28375,135,0,0,0,0,NA,0
"748",809,28350,128,0,0,0,0,NA,0
"749",811,27968,125,0,0,0,0,NA,0
"750",813,28757,116,0,0,0,0,NA,0
"751",815,28039,86,0,0,0,0,NA,0
"752",818,27972,70,0,0,0,0,NA,0
"753",822,27827,58,0,0,0,0,NA,0
"754",823,28725,55,0,0,0,0,NA,0
"755",824,27982,54,0,0,0,0,NA,0
"756",826,27340,41,0,0,0,0,NA,0
"757",828,28749,29,0,0,0,0,NA,0
"758",829,27841,24,0,0,0,0,NA,0
"759",830,28672,16,0,0,0,0,NA,0
"760",831,28733,10,0,0,0,0,NA,0
